order_id,delivery_id,restaurant_id,customer_id,order_value,items_count
0060157,RR4374,Y06,002-bik,175.0,10
0068043,IY2711,E02,008-rxl,215.67,1
0011027,KP0617,P06,000-peu,199.77,8
0000977,YO0943,O00,001-bol,126.88,5
0035273,OH7409,P04,008-pkb,279.19,6
0048298,XW9120,P09,003-snu,224.27,1
0079925,KH0296,C09,002-goz,263.81,4
0086227,YW1987,C06,004-jgt,187.29,8
0036044,JT3203,B08,006-wrh,52.79,8
0071387,YO3100,H00,008-uey,476.4,10
0057243,YX8176,Y06,000-ohh,470.56,6
0054938,JB6915,T00,002-fsp,155.32,5
0091943,VE8919,P02,000-syy,117.34,7
0065344,AO6179,H00,003-lju,97.29,3
0058502,CO9664,X06,005-snl,448.1,4
0015544,WO3201,C09,007-ttv,179.59,4
0083905,JC7144,B08,001-zhr,172.02,6
0079335,IH2983,G07,007-ppk,247.58,2
0026806,YG7177,H04,006-wwj,60.17,2
0043950,LZ2875,R04,002-yoi,81.35,1
0052800,VL7288,G09,004-fxs,456.67,10
0033576,OQ3694,H02,005-xhf,435.4,8
0018112,AX6982,H04,001-sdm,295.18,9
0024261,HS6027,T00,006-imj,369.82,5
0088786,WE8116,D04,004-jfw,337.29,6
0037573,RI2101,O08,000-jij,184.7,8
0089138,BZ3882,C06,007-cvx,303.69,6
0098106,AF2130,W09,009-fnx,430.31,5
0034321,NG7340,E00,000-tax,488.85,6
0037559,YX7254,E04,000-ovr,480.22,8
0001053,OB1176,R07,006-kpf,355.44,6
0066730,UR7926,U03,009-yve,323.38,4
0059968,OM6583,U07,001-eef,153.05,1
0097317,OI8719,D04,007-cau,318.35,1
0059221,JN7651,T00,000-xkv,319.26,5
0010720,BD0362,X01,007-iur,75.91,1
0033075,LH4109,W04,008-cfo,264.36,7
0075829,IT2261,E02,007-kax,419.0,6
0014180,JM9328,R07,007-gys,68.86,2
0032279,DG4912,U04,009-hns,82.23,9
0090306,MO7861,E05,006-ugk,81.43,2
0015892,WH3491,N01,001-vxo,126.47,6
0019311,QR2602,P04,001-ikn,230.05,2
0070937,NF8185,T03,002-zwu,402.5,3
0061243,WV6986,B08,003-pdw,338.64,10
0033022,FK6077,G09,003-cja,301.77,7
0051276,NJ5468,L04,006-ejl,491.22,7
0058717,SX3381,V08,007-fxq,498.27,3
0014468,OV3040,G06,002-xir,339.5,8
0081676,MJ4089,H02,008-ols,316.51,10
0010552,IX0773,F07,006-zin,271.33,7
0074052,DY2308,P06,001-yqk,57.88,9
0034363,VE1687,M00,005-all,375.98,5
0021527,EF7836,X04,008-pim,284.12,10
0016985,HR3369,Z05,000-mil,308.66,5
0086567,HC4714,Y06,001-otx,219.79,9
0072668,YW2094,U03,009-zgl,269.81,5
0030537,HL5720,Z05,003-lyh,93.72,4
0010722,MG6140,U03,007-owc,247.93,7
0001634,AQ1349,J09,000-ixy,271.63,6
0080211,ZH5244,S03,007-nkj,234.62,5
0078069,AZ0526,I04,001-xez,89.82,1
0061955,TG2148,E04,004-odg,342.03,10
0023924,CF8896,N00,003-qao,253.65,10
0054640,CD9731,G08,005-irm,156.89,8
0080433,OC1405,Q01,006-qxy,383.27,10
0013700,GS6990,Z03,002-dec,130.2,6
0011124,BD4876,Y02,004-qxk,168.69,6
0015035,DG0122,B05,003-ecl,411.6,4
0074830,HX1409,U07,009-dtx,421.7,8
0016038,NK5814,T04,006-gbg,293.28,5
0008780,OK3869,Q02,002-uyx,242.21,6
0044602,NG1896,U07,002-opn,63.29,3
0042587,OT8256,P05,008-mns,401.13,9
0000631,PQ6302,J09,001-lvb,88.53,2
0044163,WL0001,Y02,000-zfy,261.74,2
0045680,DH4030,H07,009-yee,395.41,3
0048287,GU9444,Q03,001-tll,466.49,6
0040176,NZ1257,E02,006-oek,411.8,5
0064388,ZH8838,H02,006-hqx,91.77,7
0054130,OP8078,S07,009-eos,176.53,4
0010967,RO0002,H07,003-xmq,322.25,1
0082673,OL4340,Y02,009-rvg,325.27,10
0097248,AP2742,F07,000-zcp,119.41,3
0034546,SH7726,S04,005-njc,221.74,7
0098499,NN3265,G08,008-nwo,364.69,4
0065628,BL3788,E05,007-gor,456.08,5
0014883,PI2544,V01,002-mnd,170.52,5
0089224,DA5339,E05,002-llg,202.14,6
0073320,WC3332,C06,001-tsq,227.7,4
0008622,EQ3762,O08,003-bkb,117.97,8
0041997,XQ7015,V08,005-wau,464.77,8
0039550,JV8208,Q03,001-elm,479.72,2
0075616,CN5183,U03,009-bia,392.31,8
0009112,PF8986,X06,006-twa,223.19,7
0061446,BQ7642,Y00,002-yau,201.97,2
0069540,CH7836,Y08,009-nol,485.85,3
0061830,GO3162,J06,009-oab,233.93,8
0080264,VU2428,H02,003-omg,136.85,2
0005256,OQ5304,Y06,002-jwr,379.95,7
0014244,PP1465,C06,006-rmy,50.19,10
0054090,XO0409,F07,003-nwj,102.7,3
0001904,HP8907,W01,004-phf,142.82,1
0063044,OP8669,Y06,003-anu,189.03,4
0065552,OC5067,C05,001-qmb,408.1,6
0013086,FQ3595,X06,003-atu,132.8,7
0030375,MO1803,R04,008-jhm,200.91,2
0042300,OU5552,P09,000-bla,51.68,4
0069877,DU7579,I04,002-rfb,177.72,1
0037690,AF3962,O05,001-bdk,99.92,9
0074039,NC1979,V01,009-icc,67.19,9
0085992,BC4713,P09,002-ldi,292.66,4
0026911,AW9116,X04,003-ajj,202.53,6
0047229,ZG4588,U03,003-fhs,482.19,2
0062366,FL7776,P04,009-ukd,252.95,5
0073219,MX9004,J06,003-nma,95.93,1
0032143,TE4543,X06,001-fzn,107.25,9
0079687,EX1024,Q03,002-peu,115.8,5
0066043,MV8989,I02,001-elk,493.92,1
0038117,QB8278,P02,007-fuh,102.54,2
0007504,IU5920,G08,007-dkp,328.7,1
0012884,AO8266,U04,006-xyb,479.79,3
0080982,RY2088,B08,005-ozr,369.14,9
0066083,PU7693,C09,000-gfc,132.28,1
0064492,NR5660,D07,003-buj,255.76,8
0097553,IE9896,G06,001-pwc,389.02,8
0063824,HZ4014,R04,005-hxq,140.35,10
0052440,BK3439,Y00,005-ziv,314.59,8
0072528,IJ9455,V08,000-hsv,405.81,8
0016135,BO7542,P02,002-jue,94.06,2
0020431,QS8205,X04,004-cfx,459.14,1
0081025,FH3985,D09,006-zyk,425.85,3
0044712,TY5363,C06,007-dku,178.41,4
0058888,KG1587,D09,006-ziq,143.17,5
0008671,LU0982,S08,002-esn,140.39,2
0078429,AA9626,D08,009-gur,79.98,7
0062715,EB9074,O05,004-tcv,422.57,7
0020126,GQ2851,P06,008-zje,481.45,10
0069873,RD9989,S05,003-fxo,91.15,5
0055266,HS8908,G06,008-hpa,61.53,7
0049615,UD4790,X04,006-bgi,123.12,8
0074008,XY9861,E04,006-ree,491.87,8
0092945,HA2738,V05,008-wib,278.48,5
0067455,KS3532,C00,004-xdx,459.4,7
0059407,PV1020,V05,003-lwq,346.32,3
0044440,NQ8041,B09,007-ljc,453.93,3
0011692,FF6440,W04,008-cob,145.35,7
0047312,PM9231,G07,004-dnw,189.44,10
0028040,FC9736,J09,004-lds,357.27,2
0036399,DT3938,F07,001-iey,153.11,7
0006406,SI0188,Y06,007-rlv,275.9,6
0030423,OG2935,V01,009-iqk,50.28,3
0022390,JZ7460,V05,002-qpi,74.19,8
0028981,SR6299,V05,007-thq,330.89,9
0083595,PT6478,F07,000-gni,396.1,2
0011325,BY9686,C07,001-mxd,116.32,3
0034353,XX3530,W09,008-emk,415.45,6
0018327,RK3265,W04,001-czd,299.51,3
0083440,BM7283,H00,008-dao,247.53,5
0019384,QY8922,V05,007-yur,260.04,3
0089140,QA1582,E08,000-dma,468.88,4
0007467,OQ3197,E02,005-tgn,174.8,9
0004234,TH7839,T03,001-esn,59.32,2
0040892,YL4046,L04,007-icm,110.21,6
0049330,BN3876,T00,004-atl,306.31,2
0021264,CF2851,D07,007-pvy,384.98,1
0045731,RQ4716,Y00,005-ghd,481.49,3
0010323,OL8528,L04,008-utw,361.86,1
0081653,IF6928,W04,009-cdh,307.27,7
0018691,OW8623,H04,008-kjo,133.1,8
0055061,MH4543,D09,002-ivu,409.44,9
0055394,WF2402,Z05,003-ceo,445.48,7
0092462,VB2357,P09,003-pip,364.69,7
0036115,AP2248,Z05,008-krw,416.93,9
0006666,BF6653,E02,007-gqi,372.33,6
0083712,PF0627,D07,009-srt,246.53,4
0050142,OH5180,C06,004-xax,355.53,6
0029006,BT5366,E08,009-awy,289.41,9
0000508,QG7669,G07,000-nza,300.06,2
0028274,MT9780,O00,003-igf,205.56,1
0036952,OK1839,H02,005-qtl,449.47,5
0083683,TD4297,X04,006-kuu,382.31,10
0027426,OF4217,Q03,001-bne,270.24,5
0001854,NU8537,U07,001-vug,108.65,7
0042242,KE0573,O08,009-dph,81.1,4
0062831,QL8890,O08,005-akw,260.6,6
0053493,BR2977,P09,001-cie,102.12,5
0092604,DR4809,S05,005-ymu,300.81,7
0016423,WI9806,Y02,009-ybn,169.11,5
0072518,TU2762,X06,000-rbn,119.09,10
0027760,OR3018,C06,008-jxq,132.14,9
0010645,GJ0714,I02,003-acn,344.43,2
0070334,CU1455,Y06,002-cho,193.94,10
0000423,AV3820,X01,004-mzg,371.47,9
0007012,RP9734,P04,001-hrm,320.87,9
0020322,BT3003,Q04,004-vdb,498.22,6
0019118,DH8103,E02,001-yxz,117.79,8
0052844,KW0217,P08,009-eho,111.5,1
0046112,KG8783,G08,000-xch,377.73,6
0023966,RM9938,Q04,007-ink,151.34,6
0049848,JR5960,V05,002-gdh,288.3,5
0062685,YM4212,P08,005-dal,83.37,10
0082900,TI0717,S07,002-lsd,51.33,3
0027242,UD3608,U07,004-xok,53.16,2
0067863,AU3339,P09,002-mzm,434.09,4
0000201,XL4271,V01,001-hja,137.08,7
0015405,CD0619,P09,000-ymi,459.32,9
0021240,JH8127,P05,009-msz,70.35,7
0092165,XU1627,C09,007-qiq,84.63,7
0020378,RT3605,Z05,009-dcs,75.66,2
0082521,UK8274,E06,000-tqh,300.7,9
0051986,NO7845,J09,007-ilz,344.49,8
0008282,FK8454,L02,003-rng,410.23,10
