delivery_id,delivery_person_id,restaurant_area,customer_area,delivery_distance_km,delivery_time_min,order_placed_at,weather_condition,traffic_condition,delivery_rating
GJ0714,O8,W,8,33.5,118,2024-10-11 05:31:43,sunny,heavy traffic,1
XW9120,Q7,K,5,88.3,98,2024-11-09 12:26:52,sunny,moderate traffic,0
PM9231,B0,Y,4,5.4,89,2025-03-27 06:52:35,cloudy,light traffic,1
CN1652,D9,X,8,25.5,88,2025-01-10 20:14:36,windy,light traffic,0
NK5814,S8,D,9,79.6,80,2025-08-12 11:01:46,foggy,light traffic,3
BR2977,B1,X,0,21.5,33,2024-10-19 02:02:08,cloudy,heavy traffic,4
OK3869,P4,Z,7,73.0,85,2024-07-07 20:27:06,sunny,heavy traffic,4
LO6725,S9,J,6,33.9,115,2025-07-22 07:02:31,foggy,heavy traffic,5
RP9734,H7,V,7,12.8,73,2025-07-19 06:15:56,foggy,moderate traffic,1
PP1465,C6,E,4,73.8,90,2024-11-05 22:35:39,cloudy,heavy traffic,4
CF2851,C8,V,3,85.4,72,2024-07-28 18:38:57,rainy,heavy traffic,3
DA5339,B1,R,7,44.9,109,2025-04-20 23:38:47,sunny,moderate traffic,3
TN5503,N0,Z,6,66.4,43,2025-06-30 18:29:31,rainy,heavy traffic,3
XL4271,E1,L,3,84.9,40,2024-12-26 19:09:26,rainy,heavy traffic,1
BN3876,S0,D,9,71.1,31,2025-05-29 03:37:03,windy,moderate traffic,2
XQ7015,X8,W,4,70.1,46,2025-02-26 23:40:18,foggy,heavy traffic,2
BJ7910,P2,L,2,29.8,75,2025-07-24 20:25:57,rainy,light traffic,2
UV1293,T2,P,3,49.9,98,2025-07-11 03:20:43,rainy,moderate traffic,3
WT2288,Z4,U,1,39.3,36,2025-02-16 21:15:59,rainy,heavy traffic,5
OW8623,K2,M,2,83.6,59,2025-05-16 17:10:53,sunny,light traffic,5
TH7839,V0,K,9,96.1,38,2024-11-17 23:18:38,rainy,heavy traffic,2
BV1833,N9,S,9,55.8,116,2025-04-25 15:22:34,sunny,heavy traffic,2
RR4374,B8,O,9,67.1,48,2024-10-15 13:10:50,sunny,light traffic,5
ZH8838,Q7,I,2,17.3,112,2025-08-10 18:30:52,rainy,light traffic,2
XI7412,O8,Z,6,76.8,82,2024-10-10 01:16:48,windy,moderate traffic,3
VV8102,Z1,X,8,22.5,110,2024-08-03 23:52:47,sunny,light traffic,3
NQ8041,A6,A,1,26.8,59,2024-07-06 04:27:34,cloudy,light traffic,4
TE4543,G5,R,8,52.3,100,2024-08-10 23:38:35,cloudy,light traffic,1
JT3203,S4,W,8,22.5,57,2024-07-06 15:21:33,rainy,heavy traffic,0
MO7861,E2,B,6,33.7,96,2024-09-05 10:14:13,cloudy,moderate traffic,2
RM9938,H8,B,5,70.4,70,2024-10-26 23:55:32,rainy,moderate traffic,5
SX3381,G0,F,3,65.3,106,2024-09-21 13:01:36,sunny,moderate traffic,2
YW2094,Y8,J,6,27.9,41,2024-12-15 14:41:37,foggy,heavy traffic,5
VU2428,A6,U,9,37.5,113,2025-04-04 16:41:38,sunny,heavy traffic,1
CF8896,Z4,Q,2,96.2,44,2024-12-14 04:16:15,windy,light traffic,0
PJ0119,D1,D,5,14.1,65,2025-06-01 12:49:02,windy,light traffic,5
DQ9616,H8,H,3,26.4,54,2025-07-11 23:22:57,sunny,heavy traffic,0
LZ2875,W6,E,7,25.6,63,2024-09-23 18:03:33,rainy,light traffic,3
RO5187,G0,P,2,4.0,26,2025-04-28 18:21:13,foggy,heavy traffic,2
DT3938,V0,V,4,87.6,105,2025-08-29 00:27:11,foggy,moderate traffic,3
MO1803,G9,Z,8,38.2,54,2025-05-23 12:13:09,rainy,light traffic,1
KZ7213,Z4,A,6,33.5,21,2025-03-31 18:28:40,rainy,light traffic,3
ZH5244,T2,P,9,54.9,80,2025-04-03 09:52:28,rainy,moderate traffic,1
BZ3882,X8,X,2,93.5,91,2025-01-15 00:49:13,rainy,light traffic,5
AO8266,Z1,G,1,46.0,68,2024-06-23 08:45:51,rainy,light traffic,5
QH6683,S0,E,4,57.5,54,2025-01-02 15:32:40,cloudy,light traffic,1
CO9664,R0,K,4,97.7,71,2024-12-12 18:26:37,windy,light traffic,2
NA1721,Z4,U,1,40.7,119,2024-08-30 08:43:07,cloudy,light traffic,5
HZ4014,R3,T,3,5.7,46,2024-08-06 01:25:05,sunny,heavy traffic,5
HS6027,E9,R,5,69.0,100,2025-06-12 22:59:24,windy,heavy traffic,1
AF2130,S7,P,8,64.9,98,2025-04-05 17:19:03,cloudy,light traffic,2
PV1020,V0,F,8,85.2,65,2025-02-19 12:16:36,windy,light traffic,2
BE6456,H8,D,1,50.6,113,2024-11-28 21:33:06,windy,moderate traffic,1
AP2742,S3,X,2,80.6,58,2024-10-06 01:42:58,windy,heavy traffic,0
BT5366,P4,P,7,78.7,101,2025-01-13 04:16:13,sunny,heavy traffic,4
FF2657,Z4,J,1,18.2,69,2025-02-13 09:33:20,cloudy,light traffic,0
AP2248,G0,G,5,97.2,44,2025-04-06 02:42:40,foggy,moderate traffic,1
OY0571,Z4,X,7,90.0,44,2024-07-11 16:22:04,cloudy,heavy traffic,1
NR5660,O4,G,6,65.1,48,2025-07-08 19:06:04,sunny,light traffic,0
FQ3595,Q0,B,9,17.9,104,2024-08-02 06:25:01,cloudy,moderate traffic,4
HC4714,S0,U,3,45.2,27,2024-12-04 14:34:58,foggy,light traffic,0
FL7776,G9,W,0,85.6,64,2025-06-04 09:47:40,foggy,light traffic,1
OK1839,Z1,H,6,31.0,71,2025-04-27 23:33:00,cloudy,heavy traffic,2
YO0943,S9,I,2,82.0,73,2024-06-19 09:34:43,windy,heavy traffic,1
FK6077,H8,N,7,97.6,115,2024-07-25 13:08:11,windy,moderate traffic,4
QR2602,Z4,A,1,76.2,27,2024-09-30 16:19:07,cloudy,moderate traffic,2
NO7845,H7,A,0,24.4,24,2025-05-01 01:44:04,cloudy,heavy traffic,1
BC4713,D9,J,5,87.0,28,2025-06-28 08:56:31,rainy,light traffic,4
DU7579,H1,V,3,22.9,57,2025-08-17 06:38:50,sunny,light traffic,1
WE8116,B1,K,1,67.3,100,2024-07-30 01:00:37,rainy,moderate traffic,2
EX1024,S6,H,2,78.2,51,2025-01-07 08:11:23,sunny,heavy traffic,2
OL8528,X8,O,5,15.2,94,2024-11-22 15:22:14,windy,heavy traffic,1
EF7836,Y7,E,7,68.2,90,2025-04-02 00:53:48,rainy,moderate traffic,2
AV3820,W9,R,5,74.0,83,2024-07-08 03:54:07,windy,heavy traffic,5
RQ4716,E7,B,1,50.8,49,2024-10-10 02:10:27,sunny,heavy traffic,3
WC3332,A6,E,6,70.6,25,2025-04-03 11:05:06,windy,light traffic,4
TI0717,Q2,V,5,74.3,84,2024-12-12 20:55:50,cloudy,heavy traffic,3
TG2148,Q7,L,1,34.6,54,2025-08-27 18:22:20,windy,light traffic,4
YI0961,R9,U,4,67.1,67,2024-12-04 04:31:16,sunny,light traffic,1
OV3040,Y7,X,3,41.8,92,2025-02-08 16:51:59,foggy,light traffic,0
WI9806,E7,G,0,42.8,27,2025-07-23 16:45:49,sunny,light traffic,5
NU8537,X7,Z,4,20.9,63,2025-05-23 10:51:46,windy,light traffic,0
FC9736,S7,M,4,95.0,42,2025-08-17 23:49:33,rainy,moderate traffic,2
JB6915,S0,Z,0,27.7,25,2024-07-05 09:43:47,windy,heavy traffic,1
WI3382,R0,T,4,21.1,77,2025-07-11 10:41:09,foggy,moderate traffic,4
OQ3694,Y8,H,8,30.9,119,2025-07-17 02:19:57,rainy,heavy traffic,1
WH3491,H7,L,7,26.5,41,2024-06-01 10:19:11,sunny,moderate traffic,5
ON9693,D1,Z,1,21.5,78,2024-08-07 15:12:05,foggy,moderate traffic,0
ZG4588,Y7,I,7,97.9,115,2024-06-02 12:24:38,foggy,heavy traffic,4
RI7419,D9,I,0,22.8,119,2024-07-10 07:00:02,cloudy,moderate traffic,0
AQ9566,Z4,V,4,57.4,81,2024-10-10 21:31:56,cloudy,moderate traffic,0
LH4109,Z1,Y,1,27.2,65,2025-06-24 13:14:48,rainy,moderate traffic,2
RY2088,I2,S,0,47.1,111,2024-10-02 19:54:27,windy,light traffic,3
KP0617,A6,L,8,55.4,58,2024-10-09 14:21:30,rainy,moderate traffic,5
GQ2851,A6,B,1,39.9,119,2025-05-15 04:26:33,rainy,light traffic,0
RO9569,E1,Y,9,73.3,110,2024-10-23 08:32:39,cloudy,moderate traffic,1
QB8278,S7,I,8,4.8,88,2024-06-18 16:32:28,foggy,moderate traffic,3
CD0619,S4,I,8,68.2,54,2025-04-14 18:45:58,sunny,light traffic,2
PF8986,S3,U,6,17.3,39,2025-07-12 22:15:13,cloudy,heavy traffic,1
OL4340,G6,R,2,68.9,107,2024-07-01 05:56:38,foggy,light traffic,5
MJ4089,S6,R,0,38.9,27,2025-02-26 01:22:50,sunny,heavy traffic,5
MT9780,C6,T,7,89.9,112,2024-06-23 21:42:40,sunny,heavy traffic,3
GN1647,S7,L,1,40.7,22,2025-03-28 20:28:42,rainy,light traffic,1
BL3788,S0,B,3,26.5,67,2025-02-13 03:28:47,sunny,moderate traffic,4
OR3018,A6,W,7,40.1,87,2025-05-16 22:05:50,sunny,moderate traffic,5
NZ1257,X8,Y,9,77.0,117,2024-12-19 22:54:05,rainy,moderate traffic,4
BF6653,R0,A,2,31.6,48,2025-03-22 02:06:27,foggy,moderate traffic,2
SI0188,S4,G,9,13.1,32,2025-08-08 10:22:12,rainy,heavy traffic,1
AV2175,N0,J,8,56.8,78,2024-08-19 00:30:56,foggy,light traffic,5
FK8454,G0,O,2,30.8,43,2024-12-10 05:10:38,windy,heavy traffic,0
FU5882,C0,U,2,87.0,34,2025-08-07 02:40:24,foggy,heavy traffic,3
VL7288,W6,N,2,99.4,94,2025-04-27 17:55:55,cloudy,light traffic,1
CD9731,Z0,S,8,25.7,50,2025-08-17 01:08:34,rainy,heavy traffic,4
ZV0618,Z0,B,2,31.1,90,2024-06-08 21:38:10,windy,heavy traffic,3
CU1455,R9,E,2,46.8,80,2025-07-08 10:36:58,cloudy,light traffic,0
IF6928,Z1,K,8,45.3,113,2024-12-08 13:29:46,foggy,moderate traffic,3
KR3542,Z0,E,0,55.4,108,2025-05-06 22:55:20,sunny,light traffic,5
AX6982,Q2,K,3,18.6,67,2025-01-29 08:49:29,cloudy,moderate traffic,5
AF3962,S7,M,9,50.4,61,2025-06-24 05:08:16,sunny,heavy traffic,3
AG8572,E7,Q,0,35.0,84,2025-05-26 22:53:26,foggy,moderate traffic,3
TN1554,A4,G,7,0.4,61,2024-09-15 02:33:54,sunny,light traffic,0
XK5150,W6,I,7,75.0,32,2025-04-02 19:05:47,windy,moderate traffic,0
WF2402,D8,Y,9,62.5,61,2025-08-12 14:48:29,cloudy,moderate traffic,1
NF8185,Y3,G,7,63.4,118,2025-03-04 13:37:05,foggy,moderate traffic,1
UG6079,Q0,K,8,11.7,45,2024-11-22 00:53:44,cloudy,light traffic,1
HP8907,B8,M,5,8.6,102,2025-07-26 14:06:56,sunny,heavy traffic,4
QB7397,W9,O,9,5.2,107,2024-11-28 07:35:49,rainy,light traffic,4
TD4297,C9,Y,0,44.0,85,2025-05-25 22:59:49,rainy,moderate traffic,3
PT6478,L5,S,2,25.8,76,2024-12-20 20:16:10,cloudy,moderate traffic,5
PQ6302,Y8,L,4,6.6,61,2024-11-08 23:11:31,rainy,light traffic,0
LR8976,X4,H,4,79.7,76,2024-08-19 17:41:58,windy,moderate traffic,0
NG1896,X7,P,4,20.6,77,2025-04-23 13:29:20,cloudy,light traffic,3
QU1466,S7,W,9,59.1,93,2025-04-08 14:39:51,windy,heavy traffic,5
KS3532,I2,B,4,61.7,24,2025-07-24 11:50:43,sunny,heavy traffic,1
XX3530,S1,M,0,23.0,34,2025-01-22 21:56:57,windy,heavy traffic,5
AR8892,D9,O,5,0.5,38,2025-06-07 11:25:19,cloudy,light traffic,0
AA9626,A0,E,4,86.3,25,2025-05-02 01:37:09,windy,heavy traffic,3
JM9328,D9,P,9,66.3,25,2024-07-07 15:10:59,foggy,moderate traffic,4
CL0264,W6,Y,8,78.1,61,2025-02-08 14:11:10,rainy,moderate traffic,4
PF0627,R0,M,4,33.2,40,2025-08-15 15:52:54,cloudy,light traffic,3
OH5180,T2,U,2,38.0,61,2024-06-07 13:44:39,foggy,light traffic,4
JC7144,T2,M,5,16.0,85,2025-08-04 14:48:07,cloudy,moderate traffic,3
GO6876,Y1,T,3,60.3,112,2024-06-04 10:50:09,cloudy,light traffic,4
NG7340,T9,Q,5,61.3,40,2025-05-04 11:59:17,foggy,light traffic,1
WL0001,O8,V,4,77.2,46,2024-11-06 12:18:24,foggy,heavy traffic,0
WN0653,X0,Y,8,10.2,103,2024-10-22 08:11:02,foggy,heavy traffic,0
QS8205,P4,R,4,12.0,107,2024-10-04 06:44:07,foggy,heavy traffic,0
XU1627,C5,S,5,70.1,119,2025-05-06 06:54:57,cloudy,heavy traffic,0
GS6990,S4,K,6,75.1,94,2025-07-26 02:50:10,foggy,heavy traffic,3
EB9074,S6,B,7,39.4,98,2024-11-05 22:21:06,rainy,moderate traffic,4
YQ9205,K2,E,6,40.4,75,2024-07-18 04:47:23,windy,light traffic,3
OP8669,E1,X,8,20.7,37,2024-11-25 09:01:09,sunny,light traffic,0
TU2762,Y8,X,4,28.3,45,2024-08-11 00:54:05,windy,moderate traffic,2
CH7836,S9,G,1,29.3,22,2024-11-02 13:05:22,sunny,light traffic,2
VF2933,S9,F,6,75.7,65,2025-08-14 17:13:43,sunny,moderate traffic,0
MV8989,T2,R,4,90.9,72,2025-05-09 12:41:25,windy,moderate traffic,4
OF4217,Z4,G,6,56.7,106,2025-06-11 03:09:03,windy,light traffic,4
GU9444,E2,E,8,40.7,55,2025-06-14 23:57:38,rainy,heavy traffic,5
OH7409,Z8,E,1,88.5,55,2024-08-21 13:13:28,windy,moderate traffic,1
BO7542,A4,J,5,60.6,49,2024-11-30 10:59:59,sunny,heavy traffic,4
XY9861,S6,E,1,7.3,77,2024-10-19 06:11:01,foggy,heavy traffic,5
IX0773,A0,Y,8,93.8,80,2025-01-19 22:15:36,windy,moderate traffic,1
BI2944,S1,K,9,12.7,84,2025-07-21 01:22:39,foggy,heavy traffic,2
AU3339,S0,J,1,22.2,101,2025-05-21 03:36:47,windy,moderate traffic,2
BY9686,Q7,D,3,35.4,28,2025-08-06 19:32:28,cloudy,moderate traffic,5
JH8127,Q5,Z,5,84.7,58,2025-08-06 05:53:13,windy,moderate traffic,0
RT3605,S1,Y,2,22.8,101,2024-11-19 08:22:14,cloudy,heavy traffic,4
AQ1349,R3,D,1,94.2,80,2025-03-11 23:45:06,sunny,moderate traffic,5
XO0409,C6,E,4,85.8,49,2024-11-26 11:08:55,windy,light traffic,4
FG1740,E9,M,5,16.0,87,2024-08-03 01:31:16,foggy,moderate traffic,4
OC1405,A0,F,8,59.0,26,2025-01-27 18:29:20,windy,light traffic,2
JR5960,W6,J,9,3.7,25,2024-11-03 10:25:18,rainy,moderate traffic,3
OH1176,P2,J,6,34.3,59,2025-06-18 02:12:33,cloudy,moderate traffic,4
KS3932,J7,W,9,26.0,24,2025-08-30 14:28:11,cloudy,light traffic,4
CY6183,T2,E,1,74.0,23,2024-06-16 02:46:55,windy,light traffic,4
OQ5304,K4,V,9,40.8,46,2025-05-23 09:04:04,rainy,heavy traffic,3
CA5902,F6,O,8,86.0,98,2025-05-13 15:59:42,windy,light traffic,4
SY4173,V0,O,8,12.7,27,2025-05-13 00:25:48,rainy,moderate traffic,2
DX8611,E1,T,5,55.4,100,2024-08-23 06:25:18,rainy,heavy traffic,5
NN3265,S3,P,8,77.8,87,2024-11-20 16:28:55,foggy,moderate traffic,0
OG2935,N0,Y,1,13.5,70,2024-09-04 11:25:18,cloudy,moderate traffic,2
MG6140,D1,Y,9,19.2,54,2025-08-25 04:53:28,cloudy,light traffic,3
LP7021,W8,N,7,95.5,24,2025-02-21 23:39:27,sunny,moderate traffic,5
YL4046,T7,Y,5,40.6,39,2025-05-26 07:29:57,foggy,moderate traffic,4
YW1987,I2,U,8,98.8,95,2025-04-04 00:30:36,rainy,moderate traffic,1
DH8103,Q7,M,5,36.6,21,2025-08-01 11:39:03,foggy,heavy traffic,0
VB2357,T7,M,4,84.8,25,2025-04-05 21:00:34,sunny,light traffic,4
HA2738,G9,A,3,39.3,116,2025-03-28 09:59:04,foggy,heavy traffic,5
OP8078,I9,F,9,96.4,25,2024-12-30 06:35:03,cloudy,moderate traffic,4
IT2261,B0,V,3,5.7,76,2024-10-12 16:04:21,sunny,heavy traffic,4
CC3448,T2,M,5,26.1,60,2025-07-05 05:50:21,sunny,heavy traffic,4
IU5920,R3,G,6,26.2,99,2025-08-01 12:52:02,cloudy,light traffic,5
US3877,J7,U,3,85.4,56,2025-04-12 08:45:55,cloudy,light traffic,5
LI8957,W6,X,2,31.0,36,2024-06-06 07:19:23,windy,heavy traffic,1
IY2711,I9,H,2,47.8,70,2025-08-23 01:02:07,windy,heavy traffic,2
KG8783,Z0,D,3,39.0,101,2025-08-16 15:50:03,rainy,light traffic,0
SR6299,V0,A,2,53.3,103,2025-04-24 18:51:27,rainy,light traffic,3
WO3201,Q0,R,0,73.6,59,2025-03-30 01:16:21,windy,heavy traffic,4
BD0362,H8,G,8,48.1,73,2025-06-06 04:23:47,sunny,moderate traffic,3
NJ5468,R0,H,4,13.5,74,2024-12-17 06:11:38,windy,heavy traffic,4
YG7177,K1,T,6,32.5,97,2024-06-30 18:29:47,sunny,moderate traffic,3
